Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 176,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school reading and math zearn Amira,Campus F,3,3,3,3,3,How to use Zearn and Amira,,
Participant 196,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Social Studies,Campus F,5,5,4,5,4,Amira and being logged into canvas summer school curriculum thank you for all your hard work!,,
Participant 219,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,G1 and G2 Summer School,Campus F,5,5,5,5,5,Amira Implentation will help my students be successful. ,I was abke to listen in with a co-teacher because my wifi wasn't working at the beginning but I finally was able to and log into my own account. ,
Participant 286,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer Curriculum ,Campus F,4,4,4,4,4,O,,
Participant 513,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus F,4,4,4,4,4,How to manage zearn,,
Participant 285,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Science of Reading,Campus F,3,3,3,4,4,I like the fact that students will get their dols in workbook format.,,
Participant 9,5/27/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Mathematics,Campus F,5,5,5,5,5,Everything was excellent information.,---,
Participant 207,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School training Amira and Zearn,Campus F,5,5,5,5,5,Amira and Zearn,,
Participant 173,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Reading Success,Campus T,5,5,5,5,5,All the parts of the PD were excellent,"I will be contacting you, team.",
Participant 271,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus F,5,5,5,5,5,Digital Resources,Thank you,
Participant 226,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus E,5,5,5,5,4,LSAE ,,
Participant 169,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus E,5,5,5,4,5,Using the Zearn and Amira Reports,,
Participant 215,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus E,5,5,5,5,5,Use the DOL to support students in LSAE reteach using the I Do You Do We Do gradual release model. ,,
Participant 246,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus E,4,4,4,4,4,Virtual resources,,
Participant 250,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus E,4,4,4,4,4,Virtual resources,,
Participant 118,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Science of Reading,Campus E,4,4,4,4,4,Amira,Wonderful!,
Participant 178,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus E,4,4,4,4,4,The slides are provided for teachers and students. The activtives and DOL are all provided,,
Participant 128,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Summer School Amira and Zern,Campus E,5,5,5,5,5,How to view reports and use my data to drive instruction.,,
Participant 218,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Mathematics,Campus E,5,5,5,5,5,The intervention ,,
Participant 122,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Mathematics,Campus E,5,5,5,5,5,Zearn: students progress for the year,,
Participant 199,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School,Campus E,5,5,5,5,5,Amira,,
Participant 34,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,ELAR/English,Campus D,5,5,5,4,4,Workstations. Being intentional with the planning,,
Participant 156,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,ELAR/English,Campus D,5,5,5,5,5,amira,,
Participant 157,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School G1 and G2,Campus D,4,4,4,4,4,Keeping track on Zearn,,
Participant 161,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus D,5,5,5,5,5,Zearn usage ,,
Participant 281,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Mathematics,Campus D,4,4,3,4,3,Amira,,
Participant 53,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Z,5,5,5,4,5,Use MRS strategies to engage students and create multiple at bats,,
Participant 57,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Apex - Grad Lab,Campus Z,4,4,4,4,4,"I learned about the summer school enrichment, which can lead to better engagement amongst our scholars.",,
Participant 59,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,5,5,5,5,5,Navigating the Canvas curriculum guide course and the Unit Overview. ,n/a ,
Participant 73,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Angela,High,ELAR/English,Campus Z,5,5,5,5,5,Access resources,Facilitator name not listed. FYI,
Participant 74,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,5,5,5,5,5,Lesson internalization ,,
Participant 94,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Z,4,4,4,4,4,Enrichment leads to more student engagement.,,
Participant 108,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,Curriculum  information,Feeling confident knowing what to do and knowing how to do it. Thanks for your help.,
Participant 185,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,I understood how to access resources for summer school,,
Participant 124,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Z,5,5,5,5,5,summer school curriculum,,
Participant 32,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Summer School PK,Campus D,5,5,5,5,5,Materials and schedule provided,,
Participant 263,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Summer School Math and Reading Amira and Zearn,Campus D,3,3,3,3,3,Zearn,None,
Participant 167,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Art of Thinking,Campus C,5,5,5,5,5,Implementation of AMIRA,,
Participant 225,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Mathematics,Campus T,5,5,5,5,5,"Curriculum resources, Zearn,Amira",This training was very thorough and clear.  ,
Participant 229,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Learning Coach,Campus T,5,5,5,5,5,I loved learning about Amira and its resources,,
Participant 168,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Social Studies,Campus U,4,4,4,4,4,the curriculum resources on OnTrack,,
Participant 208,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Mathematics,Campus U,4,4,4,4,4,"Accessing the slide decks, dol, lsae and I will utilize it everyday in my class as a resource",,
Participant 127,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Zearn Amira ,Summer School training ,
Participant 131,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School,Campus C,4,4,4,4,5,"Amira, this is perfect to use in summer school",Thanks,
Participant 197,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,It's very helpful that all of the lesson materials will be printed in the form of a book and provided for students.,,
Participant 235,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus C,4,4,4,4,4,Teachers Resources ,,
Participant 274,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Mathematics,Campus C,4,4,4,4,4,Teachers Resources,,
Participant 532,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Amira,Lots of great info,
Participant 101,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus U,4,4,4,4,4,How to access and use summer school curriculum ,,
Participant 224,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ESY-Middle School ,Campus U,5,5,5,5,5,I like the Amira and Zlearn learning ,All presenters were kind and respectful in navigating our questions ,
Participant 158,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Math and Reading G1 and G2 ,Campus B,5,5,5,5,5,Summer School Courses link will allow me to get all of my resources for summer. ,,
Participant 252,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Reading Academies,Campus B,4,5,5,5,5,One key learning from today's session is Amira is an awesome program with great resources.,,
Participant 89,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Mary,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira implementation for reading comprehension and speaking,,
Participant 138,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Summer School grade- 1st -2nd,Campus B,5,5,5,5,5,How to navigate summer school information ,,
Participant 171,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Summer school ELA/ Math,Campus B,5,5,5,5,5,Amira app ,N/A,
Participant 175,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Reading Success,Campus B,5,4,4,4,4,Amira tools,None,
Participant 241,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,LC,Campus B,4,4,4,4,3,Engagement ,Na ,
Participant 243,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus B,5,5,5,4,5,Great ,It was awesome ,
Participant 275,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,ELAR/English,Campus B,5,5,5,5,5,Amira implementation for reading comprehension and speaking,,
Participant 277,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,Math Success,Campus B,4,4,4,4,4,Scheduled ,Thank you ,
Participant 543,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,1st grade Self - Contained ,Campus B,5,5,5,5,5,Navigate Zearn and Amira ,,
Participant 148,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Math & Reading Amira Zearn,Campus A,4,4,4,4,4,How to navigate through Amira,Thank you,
Participant 41,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School,Campus A,5,5,5,5,5,f,,
Participant 261,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Social Studies,Campus A,4,4,4,4,4,How to navigate in Amira,,
Participant 317,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Learning Coach,Campus A,5,5,5,5,5,Lisa Barnes,,
Participant 45,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School ,Campus A,5,5,5,5,5,Great information to use in summer school ,,
Participant 188,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School,Campus A,5,5,5,5,5,Zearn and Amira platforms,,
Participant 210,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Science,Campus A,3,3,2,5,5,Making sure I switch my role for on track DOL. Using Zearn data. ,Please mute participants. The first 20 minutes was interrupted constantly. People can use the chat. Allow participants to privately message instead of interrupting. ,
Participant 25,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Sandy,High,ELAR/English,Campus K,5,5,5,5,5,Attendance ,,
Participant 37,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus K,5,5,5,4,5,Deep diving into the curriculum was so helpful!,,
Participant 43,5/27/2025,Teacher  Summer School GK Curriculum  ,Juan,High,ELAR/English,Campus K,5,5,5,5,5,Curriculum guides,,
Participant 49,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus K,5,5,5,5,5,On track,N/A,
Participant 51,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus K,4,4,4,4,4,Looking over materials,,
Participant 52,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,AP,Campus K,5,5,5,5,5,Slide Deck,,
Participant 54,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus K,4,4,4,4,4,Instruction material location,N/A,
Participant 55,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,5,5,5,5,5,Our curriculum is well developed and accessible on Canvas.,Thanks!,
Participant 62,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus K,5,5,5,5,5,How to find information,,
Participant 72,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Math and Art of thinking,Campus K,5,5,5,5,5,Where to find suggestions for accommodations.,,
Participant 75,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,4,5,5,4,4,Teaching me how to navigate the course for my students.,N/A,
Participant 80,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Learning Coach,Campus K,5,5,5,5,5,The small things we can help our English learners with.,N/A,
Participant 83,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus K,5,5,4,5,5,LSAE for Algebra 1,,
Participant 100,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus K,5,5,5,5,5,Internalization is vital! This will support instruction during summer school by ensuring the content and activities are adjusted to suit my students' needs. ,Informative session,
Participant 114,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus K,5,5,5,5,5,Everything is created for us all we have to do is adjust and modify to fit the students needs.,,
Participant 115,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus H,4,5,4,4,4,The training on how to navigate summer school curriculum was excellent,,
Participant 76,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Summer School Training ,Campus A,5,5,5,5,5,Form to fill out during summer school. This is very important because we are responsible to have these douments ready and filled out correctly.,,
Participant 143,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,summer school ,Campus A,5,5,5,5,5,Amira ,n/a,
Participant 194,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Summer School: Amira/Zearn,Campus A,5,5,5,5,5,Ensuring I get the allotted hours of student access on Amira and Zearn,,
Participant 280,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus A,5,5,5,5,5,Complete allotted weekly time for Zearn and Amira,,
Participant 221,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,Mathematics,Campus A,4,4,4,4,4,"Zean, How to ude amira, Summer curriculum ",,
Participant 287,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Mary,Elementary ,Mathematics,Campus A,5,5,5,5,5,LSAE Block,,
Participant 254,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Summer School Overview,Campus U,5,5,5,5,5,DOL and what the importance of it is. ,,
Participant 8,5/27/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,Summ Curriculum,Campus A,5,5,5,5,5,K summit...becuase I am not familiar...,Thank you...sort and simple.,
Participant 87,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus AA,5,5,5,5,5,Use LO & DOL to guide daily lesson and delivery.,Thank you all very much!,
Participant 99,5/27/2025,Summer School Training for Teachers of PreK ,Juan,High,Science,Campus AA,5,5,5,5,5,"Use Interactive strategies, e.g. HISD Eight, to actively engage students",Thank you for the information,
Participant 442,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus A,5,5,5,5,5,The Summer School Curriculum ,How to navigate a Zearn Account ,
Participant 492,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus A,5,5,5,5,5,I was able to access the summer school curriculum in advance,Navigating my way through Zearn,
Participant 364,5/28/2025,Summer School Training for Teachers of PreK ,Dana,Elementary ,Summer School,Campus B,5,5,5,5,5,Color code for evaluations ,,
Participant 469,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,All contents,Campus C,5,5,5,5,5,They taught me how to track students in Amira properly ,,
Participant 347,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Summer school,Campus C,5,5,5,5,5,Learning what you will be doing a daily basis.,,
Participant 367,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,Self-contained,Campus C,5,5,5,5,5,curriculum,thank you,
Participant 533,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Resources are always available. ,NA,
Participant 417,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus C,5,5,5,5,5,I’m new to Amira help me better understand the platform ,,
