Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 1159,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus C,5,5,5,4,4,I learned more about Amira and how it serves the student.,,
Participant 1252,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Jessica,Elementary ,Teacher Apprentice,Campus C,5,5,5,5,5,"Training on navigating the curriculum course, and the extra tips for zearn and amira. Having this knowledge will allow me to further support in real time.",,
Participant 1277,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Andi,High,Mathematics,Campus Z,4,4,4,4,4,Ontracj,Ok,
Participant 1175,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Art of Thinking,Campus C,5,5,5,5,5,Seeing the slides are similar to the school year,,
Participant 1071,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Social Studies,Campus T,3,3,3,3,3,Using canvas for lessons,,
Participant 1090,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Science,Campus T,5,5,5,5,5,Documentation is everything!,,
Participant 1111,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Social Studies,Campus T,5,5,5,5,4,Track progress for students using amira and zearn,,
Participant 1103,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,SPED Self-Contained:SLL ,Campus T,5,5,5,5,5,Resources is all placed in a padlet to use to support students.,,
Participant 1062,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Mathematics,Campus U,5,5,5,5,5,Zearn Platform,,
Participant 1127,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Science,Campus U,5,5,5,5,5,"The lesson slide decks, DOL, and LSAE are great resources that will support structured and engaged instruction in the classroom.",,
Participant 1061,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus B,5,4,4,4,4,"Zearn, give extra math support",n/a,
Participant 1154,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Science,Campus U,4,4,4,4,4,Pulling daily reports ,,
